,IJind,Label,Area,X,Y,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Image,Time,Volume,Media,Moving,ImGroup,blobID
0,1,flattened:0001-0620-0830:00_1470287328,57857,832.388,617.128,298.492,246.794,98.005,310.466,1,838,465,93.139,250.765,0,1470287328,3598767.68664816,0,False,0,0.0
1,2,flattened:0001-0979-1064:00_1470287328,59687,1067.5430000000001,978.961,300.54200000000003,252.863,104.70200000000001,304.138,1,1010,836,115.723,257.784,0,1470287328,3612076.7062906786,0,False,0,1.0
2,3,flattened:0001-1155-1524:00_1470287328,57158,1524.765,1156.81,292.934,248.437,145.84799999999998,298.605,1,1413,1059,139.482,252.984,0,1470287328,3416454.5510386648,0,False,0,2.0
3,4,flattened:0001-1510-1686:00_1470287328,58954,1681.24,1507.263,294.38,254.986,9.911,305.221,1,1538,1561,12.488,259.27099999999996,0,1470287328,3661864.178504259,0,False,0,3.0
4,5,flattened:0002-0619-0830:01_1470287390,57818,832.118,616.3430000000001,298.318,246.771,94.102,311.58,2,835,775,86.50399999999999,249.0,1,1470287390,3586259.033601282,0,False,0,0.0
5,6,flattened:0002-0980-1064:01_1470287390,59688,1068.124,979.6569999999999,301.353,252.18599999999998,103.04799999999999,305.026,2,1017,834,113.37100000000001,257.254,1,1470287390,3618984.858046269,0,False,0,1.0
6,7,flattened:0002-1155-1524:01_1470287390,57158,1524.878,1157.002,292.738,248.604,144.83700000000002,298.965,2,1416,1056,138.526,253.678,1,1470287390,3436076.923764942,0,False,0,2.0
7,8,flattened:0002-1509-1687:01_1470287390,59022,1681.505,1507.418,296.214,253.699,7.494,307.83299999999997,2,1538,1564,12.953,258.263,1,1470287390,3693168.4440843873,0,False,0,3.0
8,9,flattened:0003-0618-0831:02_1470287450,57789,832.819,615.612,297.894,246.998,93.49,312.36,3,838,774,87.24799999999999,249.643,2,1470287450,3613638.9536657715,0,False,0,0.0
9,10,flattened:0003-0981-1064:02_1470287450,59653,1067.384,979.8480000000001,301.851,251.623,102.803,305.825,3,1010,836,113.715,256.556,2,1470287450,3620935.397622451,0,False,0,1.0
10,11,flattened:0003-1155-1525:02_1470287450,57328,1525.1470000000002,1157.218,292.95599999999996,249.158,143.726,300.128,3,1414,1058,139.73,253.38299999999998,2,1470287450,3452292.8262303392,0,False,0,2.0
11,12,flattened:0003-1509-1688:02_1470287450,59275,1682.28,1506.79,297.627,253.577,7.018,309.685,3,1537,1557,11.927,258.765,2,1470287450,3739432.256736446,0,False,0,3.0
12,13,flattened:0004-0286-0484:03_1470287510,44109,486.17,287.335,261.02299999999997,215.15900000000002,178.106,267.421,4,351,292,3.215,218.797,3,1470287510,2340032.8556838846,1,False,1,4.0
13,14,flattened:0004-0494-0959:03_1470287510,43981,960.674,493.194,262.44599999999997,213.37099999999998,108.095,263.46299999999997,4,918,368,102.71799999999999,215.35299999999998,3,1470287510,2234780.2278428,1,False,1,5.0
14,15,flattened:0004-0505-2320:03_1470287510,44574,2321.442,504.096,265.038,214.13299999999998,78.861,271.459,4,2264,625,63.528999999999996,218.859,3,1470287510,2399729.92978838,1,False,1,6.0
15,16,flattened:0004-1067-0991:03_1470287510,44477,993.056,1067.556,263.95799999999997,214.541,34.531,273.827,4,868,1126,28.343000000000004,222.317,3,1470287510,2486291.748193866,1,False,1,7.0
16,17,flattened:0005-0287-0484:04_1470287570,43389,485.32,286.877,259.765,212.672,174.678,266.12,5,351,278,178.27700000000002,217.05900000000003,4,1470287570,2296428.9304331234,1,False,1,4.0
17,18,flattened:0005-0494-0958:04_1470287570,43769,959.289,492.89099999999996,263.036,211.86599999999999,106.545,264.439,5,911,368,102.67,213.692,4,1470287570,2225202.6313277334,1,False,1,5.0
18,19,flattened:0005-0501-2312:04_1470287570,44831,2314.864,500.38599999999997,263.932,216.27,80.291,269.981,5,2261,623,66.188,223.226,4,1470287570,2442398.660030136,1,False,1,6.0
